รหัสสินค้า,ชื่อสินค้า,หมวดหมู่,ราคา (บาท),หน่วย,คะแนนความนิยม,วันหมดอายุ (วัน),หมายเหตุ
7EL-001,น้ำดื่มตรา 7-Select 600ml,เครื่องดื่ม,10,ขวด,95,365,สินค้าขายดีอันดับ 1
7EL-002,กาแฟ 7-Café ลาเต้เย็น,เครื่องดื่ม,45,แก้ว,88,1,เครื่องดื่มสดทำใหม่ทุกวัน
7EL-003,ชาเขียวพร้อมดื่ม Itoen 500ml,เครื่องดื่ม,25,ขวด,82,180,นำเข้าจากญี่ปุ่น
7EL-004,โออิชิ ชาเขียว 350ml,เครื่องดื่ม,20,กระป๋อง,90,270,สินค้าขายดีหมวดเครื่องดื่ม
7EL-005,เรดบูล 150ml,เครื่องดื่มชูกำลัง,12,กระป๋อง,91,730,สินค้า Top 5 ของร้าน
7EL-006,ข้าวกล่องไก่ย่าง 7-Select,อาหารสำเร็จรูป,45,กล่อง,87,1,อาหารสดทำใหม่ทุกเช้า
7EL-007,ข้าวกล่องหมูกะเพรา 7-Select,อาหารสำเร็จรูป,45,กล่อง,89,1,อาหารสดทำใหม่ทุกเช้า
7EL-008,ข้าวกล่องข้าวผัดกุ้ง 7-Select,อาหารสำเร็จรูป,50,กล่อง,80,1,อาหารสดทำใหม่ทุกเช้า
7EL-009,ซาลาเปาหมูสับ 7-Select,อาหารสำเร็จรูป,15,ชิ้น,93,1,ขายดีช่วงเช้า
7EL-010,ขนมปังสังขยาไข่ 7-Select,เบเกอรี่,25,ชิ้น,86,3,เบเกอรี่ขายดีอันดับ 1
7EL-011,โดนัทช็อกโกแลต 7-Select,เบเกอรี่,20,ชิ้น,78,3,ขายดีช่วงบ่าย
7EL-012,แซนวิชทูน่า 7-Select,เบเกอรี่,35,ชิ้น,75,2,อาหารเช้ายอดนิยม
7EL-013,มันฝรั่งแผ่น Lay's รสออริจินัล 34g,ขนมขบเคี้ยว,20,ถุง,88,365,ขนมขายดีอันดับ 1
7EL-014,Pocky ช็อกโกแลต,ขนมขบเคี้ยว,25,กล่อง,82,365,ขนมนำเข้าจากญี่ปุ่น
7EL-015,ถั่วอบเกลือ 7-Select,ขนมขบเคี้ยว,25,ถุง,70,180,ของว่างเพื่อสุขภาพ
7EL-016,บะหมี่กึ่งสำเร็จรูป มาม่า รสต้มยำ,บะหมี่,6,ซอง,95,365,สินค้าขายดีอันดับ 1 หมวดบะหมี่
7EL-017,บะหมี่กึ่งสำเร็จรูป มาม่า รสหมูสับ,บะหมี่,6,ซอง,90,365,
7EL-018,บะหมี่ถ้วย Nissin รสซีฟู้ด,บะหมี่,15,ถ้วย,80,365,สะดวกทานได้เลย
7EL-019,นม Meiji 200ml รสจืด,นมและผลิตภัณฑ์นม,18,กล่อง,85,14,สินค้าแช่เย็น
7EL-020,โยเกิร์ต Dutch Mill รสสตรอเบอร์รี่,นมและผลิตภัณฑ์นม,15,ถ้วย,78,14,สินค้าแช่เย็น
7EL-021,ไอศกรีม Magnum Classic,ไอศกรีม,55,ชิ้น,83,30,สินค้าแช่แข็ง
7EL-022,ไอศกรีมแท่ง 7-Select วานิลลา,ไอศกรีม,20,ชิ้น,80,30,สินค้าแช่แข็ง
7EL-023,ทิชชู่เปียก 7-Select 15 แผ่น,สินค้าอุปโภค,25,ห่อ,75,730,สินค้าอุปโภคขายดี
7EL-024,ผ้าอนามัย Laurier 8 ชิ้น,สินค้าอุปโภค,45,แพ็ค,72,730,
7EL-025,สบู่ Lifebuoy 80g,สินค้าอุปโภค,20,ก้อน,68,730,
7EL-026,ยาสีฟัน Colgate Small 40g,สินค้าอุปโภค,35,หลอด,65,730,
7EL-027,แบตเตอรี่ Panasonic AA 2 ก้อน,อุปกรณ์อิเล็กทรอนิกส์,55,แพ็ค,60,1825,
7EL-028,สายชาร์จ USB Type-C 1m,อุปกรณ์อิเล็กทรอนิกส์,99,เส้น,55,1095,
7EL-029,หน้ากากอนามัย 7-Select 10 ชิ้น,สินค้าอุปโภค,35,กล่อง,70,730,
7EL-030,ยาแก้ปวด Paracetamol 500mg 10 เม็ด,ยาและเวชภัณฑ์,35,แผง,62,1095,ต้องซื้อโดยผู้ใหญ่
